ref_area,ref_area_name,frequency,frequency_name,methodology,methodology_name,measure,measure_name,unit_measure,unit_label,expenditure,expenditure_name,adjustment,adjustment_name,transformation,transformation_name,series_key,period,value,obs_status,obs_status_name,source_id,dataflow_id,query_url,retrieved_at_utc
EA,Euro area,M,Monthly,HICP,Eurostat harmonised index of consumer prices (HICP),CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",EA.M.HICP.CPI.PA._T.N.GY,2024-11,2.2,A,Normal value,OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL,"https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL,1.0/SWE+EA.M.HICP.CPI.PA._T.N.GY?startPeriod=2024-01&endPeriod=2026-01&dimensionAtObservation=AllDimensions",2026-09-13T18:33:16Z
EA,Euro area,M,Monthly,HICP,Eurostat harmonised index of consumer prices (HICP),CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",EA.M.HICP.CPI.PA._T.N.GY,2024-12,2.4,A,Normal value,OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL,"https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL,1.0/SWE+EA.M.HICP.CPI.PA._T.N.GY?startPeriod=2024-01&endPeriod=2026-01&dimensionAtObservation=AllDimensions",2026-09-13T18:33:16Z
EA,Euro area,M,Monthly,HICP,Eurostat harmonised index of consumer prices (HICP),CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",EA.M.HICP.CPI.PA._T.N.GY,2025-01,2.5,A,Normal value,OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL,"https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL,1.0/SWE+EA.M.HICP.CPI.PA._T.N.GY?startPeriod=2024-01&endPeriod=2026-01&dimensionAtObservation=AllDimensions",2026-09-13T18:33:16Z
EA,Euro area,M,Monthly,HICP,Eurostat harmonised index of consumer prices (HICP),CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",EA.M.HICP.CPI.PA._T.N.GY,2025-02,2.3,A,Normal value,OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL,"https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL,1.0/SWE+EA.M.HICP.CPI.PA._T.N.GY?startPeriod=2024-01&endPeriod=2026-01&dimensionAtObservation=AllDimensions",2026-09-13T18:33:16Z
EA,Euro area,M,Monthly,HICP,Eurostat harmonised index of consumer prices (HICP),CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",EA.M.HICP.CPI.PA._T.N.GY,2025-03,2.2,A,Normal value,OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL,"https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL,1.0/SWE+EA.M.HICP.CPI.PA._T.N.GY?startPeriod=2024-01&endPeriod=2026-01&dimensionAtObservation=AllDimensions",2026-09-13T18:33:16Z
EA,Euro area,M,Monthly,HICP,Eurostat harmonised index of consumer prices (HICP),CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",EA.M.HICP.CPI.PA._T.N.GY,2025-04,2.2,A,Normal value,OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL,"https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL,1.0/SWE+EA.M.HICP.CPI.PA._T.N.GY?startPeriod=2024-01&endPeriod=2026-01&dimensionAtObservation=AllDimensions",2026-09-13T18:33:16Z
EA,Euro area,M,Monthly,HICP,Eurostat harmonised index of consumer prices (HICP),CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",EA.M.HICP.CPI.PA._T.N.GY,2025-05,1.9,A,Normal value,OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL,"https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL,1.0/SWE+EA.M.HICP.CPI.PA._T.N.GY?startPeriod=2024-01&endPeriod=2026-01&dimensionAtObservation=AllDimensions",2026-09-13T18:33:16Z
EA,Euro area,M,Monthly,HICP,Eurostat harmonised index of consumer prices (HICP),CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",EA.M.HICP.CPI.PA._T.N.GY,2025-06,2.0,A,Normal value,OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL,"https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL,1.0/SWE+EA.M.HICP.CPI.PA._T.N.GY?startPeriod=2024-01&endPeriod=2026-01&dimensionAtObservation=AllDimensions",2026-09-13T18:33:16Z
EA,Euro area,M,Monthly,HICP,Eurostat harmonised index of consumer prices (HICP),CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",EA.M.HICP.CPI.PA._T.N.GY,2025-07,2.0,A,Normal value,OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL,"https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL,1.0/SWE+EA.M.HICP.CPI.PA._T.N.GY?startPeriod=2024-01&endPeriod=2026-01&dimensionAtObservation=AllDimensions",2026-09-13T18:33:16Z
EA,Euro area,M,Monthly,HICP,Eurostat harmonised index of consumer prices (HICP),CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",EA.M.HICP.CPI.PA._T.N.GY,2025-08,2.1,A,Normal value,OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL,"https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL,1.0/SWE+EA.M.HICP.CPI.PA._T.N.GY?startPeriod=2024-01&endPeriod=2026-01&dimensionAtObservation=AllDimensions",2026-09-13T18:33:16Z
EA,Euro area,M,Monthly,HICP,Eurostat harmonised index of consumer prices (HICP),CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",EA.M.HICP.CPI.PA._T.N.GY,2025-09,2.2,A,Normal value,OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL,"https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL,1.0/SWE+EA.M.HICP.CPI.PA._T.N.GY?startPeriod=2024-01&endPeriod=2026-01&dimensionAtObservation=AllDimensions",2026-09-13T18:33:16Z
EA,Euro area,M,Monthly,HICP,Eurostat harmonised index of consumer prices (HICP),CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",EA.M.HICP.CPI.PA._T.N.GY,2025-10,2.1,A,Normal value,OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL,"https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL,1.0/SWE+EA.M.HICP.CPI.PA._T.N.GY?startPeriod=2024-01&endPeriod=2026-01&dimensionAtObservation=AllDimensions",2026-09-13T18:33:16Z
EA,Euro area,M,Monthly,HICP,Eurostat harmonised index of consumer prices (HICP),CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",EA.M.HICP.CPI.PA._T.N.GY,2025-11,2.1,A,Normal value,OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL,"https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL,1.0/SWE+EA.M.HICP.CPI.PA._T.N.GY?startPeriod=2024-01&endPeriod=2026-01&dimensionAtObservation=AllDimensions",2026-09-13T18:33:16Z
EA,Euro area,M,Monthly,HICP,Eurostat harmonised index of consumer prices (HICP),CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",EA.M.HICP.CPI.PA._T.N.GY,2025-12,2.0,A,Normal value,OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL,"https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL,1.0/SWE+EA.M.HICP.CPI.PA._T.N.GY?startPeriod=2024-01&endPeriod=2026-01&dimensionAtObservation=AllDimensions",2026-09-13T18:33:16Z
EA,Euro area,M,Monthly,HICP,Eurostat harmonised index of consumer prices (HICP),CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",EA.M.HICP.CPI.PA._T.N.GY,2026-01,1.7,A,Normal value,OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL,"https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL,1.0/SWE+EA.M.HICP.CPI.PA._T.N.GY?startPeriod=2024-01&endPeriod=2026-01&dimensionAtObservation=AllDimensions",2026-09-13T18:33:16Z
SWE,Sweden,M,Monthly,HICP,Eurostat harmonised index of consumer prices (HICP),CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",SWE.M.HICP.CPI.PA._T.N.GY,2024-01,3.4,A,Normal value,OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL,"https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL,1.0/SWE+EA.M.HICP.CPI.PA._T.N.GY?startPeriod=2024-01&endPeriod=2026-01&dimensionAtObservation=AllDimensions",2026-09-13T18:33:16Z
SWE,Sweden,M,Monthly,HICP,Eurostat harmonised index of consumer prices (HICP),CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",SWE.M.HICP.CPI.PA._T.N.GY,2024-02,2.6,A,Normal value,OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL,"https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL,1.0/SWE+EA.M.HICP.CPI.PA._T.N.GY?startPeriod=2024-01&endPeriod=2026-01&dimensionAtObservation=AllDimensions",2026-09-13T18:33:16Z
SWE,Sweden,M,Monthly,HICP,Eurostat harmonised index of consumer prices (HICP),CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",SWE.M.HICP.CPI.PA._T.N.GY,2024-03,2.3,A,Normal value,OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL,"https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL,1.0/SWE+EA.M.HICP.CPI.PA._T.N.GY?startPeriod=2024-01&endPeriod=2026-01&dimensionAtObservation=AllDimensions",2026-09-13T18:33:16Z
SWE,Sweden,M,Monthly,HICP,Eurostat harmonised index of consumer prices (HICP),CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",SWE.M.HICP.CPI.PA._T.N.GY,2024-04,2.4,A,Normal value,OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL,"https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL,1.0/SWE+EA.M.HICP.CPI.PA._T.N.GY?startPeriod=2024-01&endPeriod=2026-01&dimensionAtObservation=AllDimensions",2026-09-13T18:33:16Z
SWE,Sweden,M,Monthly,HICP,Eurostat harmonised index of consumer prices (HICP),CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",SWE.M.HICP.CPI.PA._T.N.GY,2024-05,2.5,A,Normal value,OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL,"https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL,1.0/SWE+EA.M.HICP.CPI.PA._T.N.GY?startPeriod=2024-01&endPeriod=2026-01&dimensionAtObservation=AllDimensions",2026-09-13T18:33:16Z
SWE,Sweden,M,Monthly,HICP,Eurostat harmonised index of consumer prices (HICP),CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",SWE.M.HICP.CPI.PA._T.N.GY,2024-06,1.4,A,Normal value,OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL,"https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL,1.0/SWE+EA.M.HICP.CPI.PA._T.N.GY?startPeriod=2024-01&endPeriod=2026-01&dimensionAtObservation=AllDimensions",2026-09-13T18:33:16Z
SWE,Sweden,M,Monthly,HICP,Eurostat harmonised index of consumer prices (HICP),CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",SWE.M.HICP.CPI.PA._T.N.GY,2024-07,1.7,A,Normal value,OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL,"https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL,1.0/SWE+EA.M.HICP.CPI.PA._T.N.GY?startPeriod=2024-01&endPeriod=2026-01&dimensionAtObservation=AllDimensions",2026-09-13T18:33:16Z
SWE,Sweden,M,Monthly,HICP,Eurostat harmonised index of consumer prices (HICP),CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",SWE.M.HICP.CPI.PA._T.N.GY,2024-08,1.3,A,Normal value,OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL,"https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL,1.0/SWE+EA.M.HICP.CPI.PA._T.N.GY?startPeriod=2024-01&endPeriod=2026-01&dimensionAtObservation=AllDimensions",2026-09-13T18:33:16Z
SWE,Sweden,M,Monthly,HICP,Eurostat harmonised index of consumer prices (HICP),CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",SWE.M.HICP.CPI.PA._T.N.GY,2024-09,1.2,A,Normal value,OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL,"https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL,1.0/SWE+EA.M.HICP.CPI.PA._T.N.GY?startPeriod=2024-01&endPeriod=2026-01&dimensionAtObservation=AllDimensions",2026-09-13T18:33:16Z
SWE,Sweden,M,Monthly,HICP,Eurostat harmonised index of consumer prices (HICP),CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",SWE.M.HICP.CPI.PA._T.N.GY,2024-10,1.6,A,Normal value,OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL,"https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL,1.0/SWE+EA.M.HICP.CPI.PA._T.N.GY?startPeriod=2024-01&endPeriod=2026-01&dimensionAtObservation=AllDimensions",2026-09-13T18:33:16Z
SWE,Sweden,M,Monthly,HICP,Eurostat harmonised index of consumer prices (HICP),CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",SWE.M.HICP.CPI.PA._T.N.GY,2024-11,2.0,A,Normal value,OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL,"https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL,1.0/SWE+EA.M.HICP.CPI.PA._T.N.GY?startPeriod=2024-01&endPeriod=2026-01&dimensionAtObservation=AllDimensions",2026-09-13T18:33:16Z
SWE,Sweden,M,Monthly,HICP,Eurostat harmonised index of consumer prices (HICP),CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",SWE.M.HICP.CPI.PA._T.N.GY,2024-12,1.6,A,Normal value,OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL,"https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL,1.0/SWE+EA.M.HICP.CPI.PA._T.N.GY?startPeriod=2024-01&endPeriod=2026-01&dimensionAtObservation=AllDimensions",2026-09-13T18:33:16Z
SWE,Sweden,M,Monthly,HICP,Eurostat harmonised index of consumer prices (HICP),CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",SWE.M.HICP.CPI.PA._T.N.GY,2025-01,2.0,A,Normal value,OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL,"https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL,1.0/SWE+EA.M.HICP.CPI.PA._T.N.GY?startPeriod=2024-01&endPeriod=2026-01&dimensionAtObservation=AllDimensions",2026-09-13T18:33:16Z
SWE,Sweden,M,Monthly,HICP,Eurostat harmonised index of consumer prices (HICP),CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",SWE.M.HICP.CPI.PA._T.N.GY,2025-02,2.8,A,Normal value,OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL,"https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL,1.0/SWE+EA.M.HICP.CPI.PA._T.N.GY?startPeriod=2024-01&endPeriod=2026-01&dimensionAtObservation=AllDimensions",2026-09-13T18:33:16Z
SWE,Sweden,M,Monthly,HICP,Eurostat harmonised index of consumer prices (HICP),CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",SWE.M.HICP.CPI.PA._T.N.GY,2025-03,2.1,A,Normal value,OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL,"https://sdmx.oecd.org/public/rest/data/OECD.SDD.TPS,DSD_PRICES_COICOP2018@DF_PRICES_C2018_ALL,1.0/SWE+EA.M.HICP.CPI.PA._T.N.GY?startPeriod=2024-01&endPeriod=2026-01&dimensionAtObservation=AllDimensions",2026-09-13T18:33:16Z
